English	Burak	Loo of Galdemaru	Loo of Waamura	Maɣdi	Lee Mak of Panya	Lee Mak of Zoo	Kya̰k	Mɔɔ	LeeLau	Dza of Kaigama	Munga Doso	Joole	Jòòle of Joole Manga
this	kûŋ	kǒŋ	yuâŋ 	núŋ né àné	nuŋu	kǒŋ	kɛ	nə̀ŋ kà	núŋ kwàŋ, kwà, kòŋ	nǝŋ nә́	nә́ŋ nà		
that	ka kwáá	kʊ́kɔ̀	lul kʊ́kɔ̀	núŋ lè	nuŋ wílí	wúlí	kúló	a kɔ́	núŋ kǝlo	nǝŋ léè	nә́ŋ léì		
who?	wéí	wei	wai	wô	wê	wǝ (o)	yá	ya, yyaa	yâ	waɗé	nәŋ wɛ́ɛ̀	dúwà (wanene)	aya
what?	ɓɛ́	ɓa	ɓa	ɓê	ɓê	ɓê	ɓɛ̂	mʌ̂	ɓǝ tɛ́na	dǝbade	mbɛɛ	dә́bádé	ába
not	yo	yɛ	yyɛ	yéì	yè	yé	yoŋû	yaŋʊ̀	yáúŋ	hwṵ̈aŋ	yáùŋ	yǜòŋ	hàà nə̀ŋ
all	pirit, fɛ́k, píp, pɛ́ŋ	ɓә́ŋ	ɓә́ŋ	píp	píp	píp	ndê	nsê	ndệ, ndɛ́ì	hḛ	gbə̂m	(bə̰) hɛ̰	bə θi
many	wéé, tatíì	wéé (sháŋ)	wéé (sháŋ)	dáŋá, níí dáŋéré	gbáá	le kpá̰á̰lì	kpa	ŋma díŋ	kpa hár	ihnyanə̂ŋ	ŋmá wa nèí	ínhyanə̂ŋ	gùgò
big	mút	mút	múrì	mú	mó	le murì	go̰o̰	gaa dә́ŋ	gaa thá	ká̰nkàà	kángá̰á̰	ká̰ ká̰á	yaù wúná gò
long	gbɛ́nɛ́	gbínɛ́	búnɛ́	júná	güna	güna	gwện	gwen də̀ŋ	gún dhà	ka̰a̰fìì	vii láà	ká̰ fii	múŋwì
small	tɔ̂p, tɔ́p	tuwɔ́ɔ́p	tuwɔ́ɔ́p	ɓó tôp	tóp	twɔ́p	ɗwàl cwâp	níí cwàp	t(u)wap níí	fɛɛni; tshwɐnì (little thing)	nii tswáni	tswáni; feenì (very small)	tìbáŋ (kankane, gajere)
woman	líshɛ́ɛ / yélàà líshɛ́ɛ	lísé / yélé ká lísé	lishei / yìlà lishei	ìshè / lééshèè	lishye / leesye	lishyee / leesheyy	yithí / yáayìthi	yisí / yáyìsi	yìsí / yáshi	ífá yíè / eéyéè íyé / eyéè	iihèì / léhéí	yie / ééyìè	ní shí
person	lúl	lúl	lúl / luluwéé	yugùl / léégùl	yugùl / leegùl	yugùl / leegùl	yù / yááyú	yùù / yáyúú	yùù / yááyúú	ífə̀ / eéfʌ̀nə	ífò / èfò	yìvə̀ / eefàfə̀	núhú
man	liɓé / yélàà liɓé	liɓé, yuu liɓé	luálibə / yila lìbə	líɓèi / leeləɓei	liɓei / leeləɓei	liɓei / leeləɓei	yiɓé / yááyìɓe	yiɓé / yáyìɓe	yìɓɛ́í / yáɓɛi	íbùì / eebúì	yibúì / lébùì	ibùì / eeibwì	nimbi / nó nìmbì
fish	shée	shéé	shyé	shéí / yééshei	sei / yeeséì	sei / yeeséí	théŋ	sә́ŋ	thə̰(ŋ)	hnyә́ŋ	hnyíìŋ / leehnyíìŋ	híә́ŋ / eehíә́ŋ	θíŋ
bird	yúnúŋ	yuluŋ	yǘnúŋ	yülùŋ / yeeyǘlùŋ	yuluŋ / yeeyuluŋ	yülùŋ	nyúk	nyúú	nuruk	ih̰wui / eh̰wui ; éhwü	yíhüì / leyihüì	hṵ̈ḭ / ééhṵ̈ḭ	yǘnú
dog	ɗwaa	ɗwáà	ɗwáà	ɗwáá / yeeɗwaa; kúlmáá	ɗwaà / yeeɗwaà	ɗwáá	ɗyùà	ɗywàà	ɗwaà	iidshwá / eyìdshwá	yiɗwaa / léɗwaa	idjṵ́á̰ / éé-, idyǘá	yǜywà
louse	kurmáà	kúrmò	kúrmò	bei	bei	síì	síì	sii	ńsḛ(ḛ́) / énsḛ̀	ńza̰, ńzʌ̰	sɛ̰́	nshɛ̂	
tree	ɗít / yéɗit	ɗít	káp	káp / yéékáp	kap / yeekâp	kàp	káp	kaap	kâp	kɐ́ɐ / ekʌ́(ʌ)	kaa / lékaa	kʌ́ / èèkʌ́	nyááká / nyááká búbáí
seed	lʊ́k	lʊ́k	lʊ́k	lók	lok	lok	beenuŋ	beenìŋ	ɓeenùŋ	nә́ŋ pyɛ́nә́ŋ	byenìŋ	nəŋ́ pyà	gya
kwaya	ári	ɛrɛ	álɛ́	nuŋé	nuŋé	núŋ nuŋ, núŋu	núŋ	nuŋ	nә́ŋ nə̀ŋ	nә́ŋ	nә́ŋ nəŋ	nùù ná, nuu gyà	
leaf	yaŋ káp	yáŋ	nyáŋ nùŋ	yaŋ kap	yaŋ kàp	yaŋ kap	yáŋ kaàp	yaŋ kap	yaŋ kʌ́	yáŋ kaa	yáŋ ka / èè-	yáŋ ka	
root	jumi	jum ɗít	yèŋ káp	yeŋ kap	yeŋ kâp	yéŋ kap	yéŋ kaàp	yéŋ kap	hyween kʌ	yǘm̀ kaa	yüòŋ ka	yú kà	
bark	kɔ́kə́lɛ́	kɔɣɛlɛ	kɔɔlɛ	kɔ́ŋɛ̀	k(w)ɔ́ŋ kap, kwáŋ k.	kwộŋ	kóŋú	kɔ́ŋɔ́	kɔ́n kap	mpɔɔká	pɔ́ kàà	mpɔ̀ɔ̀ ká	ŋ̀kwàŋ kà
skin	lákát; tɔl shít	lákát	lákát	láɣá / yéé láɣá	kɔŋ laxa	láɣá	swál thɛ	swál sʌ̀; kɔ́ŋ vèè	swál; zuwe	tshwa sə́	dzwáà	tswʌ̀ / èetswʌ̀	djwa
flesh	nyam̀	nyám	nyám	nyám	nyám	nyám	nyám	nyám	nyám	hnyʌ̰́, hnyʌ̰	híàm	hḭ́á̰ / eé-	nie, nḭḛ
blood	wɪ́ɪ́	dùm	dùm	ywee	lyüé	lyüé	zwìì	zìì	zìì	hywṵi, hywḭ	ehywü; (exwü)	hṵ̈̀ḭ̀	vi (?)
bone	kúb, kúp ?	kúp	kúp	kób, kúób / yéé kób	kóp	kúóp	kəkəp	kúp	kukup; (kʊkʊp ?)	kʊʊkʊ́, kʊkʊ́	kúkwə̀	kùkú	kúkú
grease	nwìì; nywiì	nywìì	nwíí	nwée	nywii	nywíì	nwi	nwíí	nywi	nnwi, nwi	nywíì	nuì	nwí
egg	báŋ	baŋ	baŋ	ɓáŋ	ɓaŋ	ɓáŋ	buŋ	búŋ	ɓʊ̀ŋ	gbʌŋ yyè; pəŋ	bə̂ŋ	pə̀ŋ / ee-	bə̀ŋ
horn	ɓérùm	ɓwɔ́k	ɓwɔ́k	káp ɓí(í)	ɓí	ɓíí	gbii	ɓíí	gbî	djíí	íì kù	jí / eéjí	lóóbi
tail	wɪ́n̄	wín	wín	ywén	lywen	lyǘwén	kin dheŋ	zeŋ	dhḛŋ	kányì	kaa hnyṵ̂; kaa hḭ́yù	kányḭ̀	ka ðiŋ
feather	dém; fíí	dɐ́m yùlùŋ	ɓwéí nè yǜnùŋ	báà (yábà)	ɗyem yǘlùŋ	ɗyêm yǘlùŋ	biaŋ	bíyáŋ nyúú	bìyàŋ	tsaá iyyè	dzami	tsáá	gyḛ̀ ḭ́nyḛ́ (kaza)
hair	fíí loo	fíì	fíì	báá lòò	ɓaa	ɓaà	báá lòò	bá lòò	bíyàŋ lòò	tsaa kú	dzám kùù	tsàà kú	ʒànkò
head	lóo	loo	loo	loo	lòù	lòù	lòò	lòò	lòò	kú / ee-kú	kùù	kúə́	yákó
ear	twíi ?	twɪ́ɪ́	twɪ́ɪ́	cwéé	dɔkswíì	(ɗɔ́k)shwìyè	ɗɔ́kswì	ɗɔ́kfíì	ɗɔkswî	tshwötshwí	cúcwì	tʃwü tʃwí	bwaa tywi
eye	núŋ	ɛrɛ nuŋ	ɛrɛ nuŋ	núŋ / yéénuŋ	nuŋ	nuŋ	núŋ	nə́ŋ	núŋ	nə́ŋ	nəŋ	nə́ŋ / ee-	bwàà nù
nose	lúúri	lúúrì	lúúrì	luuli	ɗuurə	ɗuurə	ɗúr	ɗúr	ɗurr, ndurr	bwaadjwí	kádwì	nwá̰ dwí	bwàà dṵ̀
mouth	nyúwaa, nywaa	nywa	nywa	nyuwaa	nuwaa	nuwa	ŋwaà	ŋwaa	ŋwaà	nnwâ	ŋwàà	ká̰ nw̰á̰	kányua
tooth	lée	lei	lei	léí	lei	lei	lɛ́ɛ́	lɛ́ɛ́	léí	djìì	íì	jì(ì) (=calabash)	gigi
tongue	ɗák	ɗak	ɗak	ɗák	lén	lén	ɗyím	ɗyík	lyén	lʌ̰́	lyêm	lʌ́	láŋ
claw	kpáárɛ̀	kpáárạ̀	kpáárạ̀	kpaale	(kɔŋ) kwaare naa	(kɔ̀ŋ) kwààr nàà	koŋ síná	kɔn saná	koŋ wá̰á̰ sənà	kwan cínà	kwáŋ shìnà	kwán shínà	tə́ θá̰
foot	vòò, voo	voo	voo	vòò	kaɓò	bòò	boò	boò	kabóò	kʌ́pùù / eekʌ́pùù	kabù	kápù	kábò
knee	lʊ́k	lʊ́k	lʊ́k	lɔ́k	nuwaa lòŋ	nuwaa lòŋ	ɗyóŋ	ɗyóŋ	lɔ́ŋ	kád jwáŋ; kadzɔŋ	dwaŋ	ká dzwá, làŋ dzwá	lóyáŋ, léúyáŋ
hand	náa	náá	náá	naa	naa	naa	náá	náá	náá	kanàà / ekánàà	náà	kánà	kana
belly	fúu	fúú	fúú	fúú / yéé fuu	fúu	fuu	wáá	wa	waa	hyüa	hǜyàà	yüa	ywa
neck	dʊl	dʊ̀l	dʊ̀l	ɗúl	dùl	dùl	dùl	dûl	dùl	tshwíí	jwíì	tjwi, twi	kajwì
breast	míi	míì	míì	míí	mìì	mìì	míí	míí	míí	míí	míì	mì(ì)	mìì
heart	sultûm lúl; nii gɔ́ɔ́	dùm; nii gòò	nii gòò	nyin góó	nìì gwaa	nii gwáà	zugù	zuù	áù	nyíí	tsôm	twé	lòònyì
liver	níi	nii	nii	nyii	nìì	nii gwáà	nwi nwi	nyíí	nii	nyii nyiifə̀	nyíni	yḭyḭ, nyinyi	nyì
sun	ɓɛ́ɛ	ɓáì	ɓáì	faalè	fàr	far	fúù	fuu	fúù (fuh	fíí	fíì	fíí	fíə́
moon	píí	píí	píí	píí	pìì	píí	fiì	fii	fii	hw̰ì hw̰í	fíì hǜm	hṵ̈̀hwḭ́, ṵ̈̀hwḭ́, íhwḭ́	fḭ́
star	ɓasâl	ɓásàl	ɓáshàl	bên	ben	ben	bîn	bîn	ɓin	ńdzə̀ŋ	ndzə̂ŋ	ǹzə̀ŋ	ŋ̀gyíŋ
water	mɛ́ɛ́	mɛ́ɛ́	mɛ́ɛ́	míshì	mui kya	mwui kya	mùŋ	mùŋ kwâm	munki	mmə́ŋ	məŋ tsər	mə́ŋ	míkyá
rain	mɛ́ɛ́ yélé, mɛ́ɛ́ gàk	mɛ́ɛ́ lóó yílé	mɛ́ɛ́ lóó yílé	mei gáq	mui lóó yìlə̀	mwui lóó yìlə̀	mùŋ looyíí	mùŋ	mṵn wáyí	mmwə́ŋà djwî	mwəŋ dwiyéè	mʌ́ʌ̀ dzwè	mə̀ŋ yɛ̀ràwà
stone	tál	tál	tál	tʰál	tal	tal	tàl	tàl	t(ʰ)âl	tée	téì	té / eeté	táí
sand	shwáá jùwèè	schwaa baŋ jüé	schwaa baŋ jüé	cwáá jòì	swaazwí	shwaazwê	swààzwì	swààzìì	swaazwí	h̰ywáah̰ywì	hywáhywǜ	hyǘa hywì (chwáchwì)	fáávì
earth	swáá jwèè	shwáá	shwáá	cwáá	swàà	shwàà	swàà	fùŋ faa	swaa	h̰ywáa, (xüwá)	hywaà	chǘá	káábù
cloud // rain cloud	túrum //túrúm mɛɛ	túrùm	túrùm	túlúm // tʰéì	túlúŋ // tʰéì	túlúŋ // tʰéì	téè // téé mùŋ	tee	t(ʰ)éì // mun gbîl	tschî; ńdzə̀ŋ	chíì	cì	nyilo
smoke	wúù lʊ̀àà	dùngò	dùngò	wúl lùwàà	duu lua	duu lua	júù	jùù	dùù	ǘhwìì; üɸwì	əhwǘyì (əhwî)	ǘhwì	ðú
fire	lʊ̀àà, lwàà	lɔ̀à	lɔ̀à	lùwàà	lua	luàà	ɗyúá	ɗywá	lwáà	dʒwaà	ɗwaà	djwà	yüa
ashes	gwɪ̀ɪ̀	gwìì	gwìì	jwèè	tɔ́ŋ	tɔ́ŋ	sóŋ	sóŋ; gwìì	sóŋ	foo dʒwaa	voù ɗwaa	fòò dywà, fòò djwà	wí
burn	kʊ́rá	twín	twín	cwene, cwena káà	wáà (swín (~pots)	wáà (swín (~pots)	lii	lii	lii	tshwa̰le	líì	tswéyáŋ	yüa kywé
path	lát	lát	lát	lálà	dəra	núŋ də̀rà	núŋ lɛɛ	níŋ lɛ̀ɛ̀	lei	ne h̰yà	nəŋ gà̰à̰	ní hyà̰, nəhà̰à̰	nyááŋgə̀
mountain	tál; kwɪ́ɪ	tálá mùrì	tálá mùrì	gulé	tâl	lou tal	thègók	dám	tʰâl	téé	téèn gà̰à̰	kúté	kóótáí
night	vɛɛrɛ	vɛɛrɛ	vɛɛrɛ	voolè	vuure	vòòrè	vḭ̀	nuŋ vìì	núŋ vì	ḿvì	ʔiŋ viì	n̄vìì	nùŋvìè
name	lín̄	nin	nin	lin	ɗín	ɗin	ɗwín	ɗwín	ɗún	djwun	ɗyíìŋ	dzuŋ	dumà
red	nyín	nyɪ́n	nyiine	neéénè	nyiinì	nyiinì	á dhèn	á zèn	dhènì	kááhyḛ̀	ka hyê	ká hḭ̀ḛ̀	á ʒèè
green	mɛ́ɛ́ yaŋkáp; mɛ́ɛ́ tɔ̀ɔ̀rít			lôŋ	zanà	mwui yáŋ kàp	a kpák kpàk	a gbák gbák	gbák gbák	kaa (m)mə́ŋ hù	məŋ yáŋ kàà	ka múŋhṵ̀	a yaŋka
yellow	mɛ́ɛ́ mɛ́shɛ̀			mai loi		fə́k fə́k	muŋ buŋ yíbè	muŋ ɗwí		kaa (m)mə́ŋ shawara	mə́ŋ bùŋ yèè	mə́ŋ pɔ̀ŋyɛ̀	jií (=dorawa)
white	vʊ̀rʊ̀m	vurum	vurum	vúlúŋ	kə vurûm	kə́ vùrùm	á və̀rə̀m	á və̀rə̀m	virùm	kaa fə̀	ká vòù	ká fə̀	a vṵ̀
black	ɓilìŋ	ɓìlìŋ	ɓìlìŋ	ɓilìŋ	ɓílìŋ	kə́ ɓìlìn	á ɓìlìm	a ɓílìŋ	ɓílìŋ	káá bìì	ká bí	ká bì	bibi
hot	dwíí	dwiile	dwiile	kpélè	zuwe	zwè	zwen	a láá, swén	swen	lɐlə́; pʊ tswɐ̰́	lalá	lʌ̀lə́	lá yǘá
cold	támá	təma	təma	tamà	wei tə́máá	tə́má, ɗyóú	tə́m, ɗyók	a tə́m, ɗóó	temi	tá̰a̰lé, pə tá̰á̰	tà̰à̰	taalə	yó
full	ɓɔ́rɛ́ɛ́	yɪɪlɪ́	yɪɪlɪ́	yile	yiiré	yiiré	hḭḭ lɛ́ɛ̀	yii sə̂	yii dhá	yɪlâ	yilaŋ	yìlə́	yiyi
new	ká fuu	ka fú	ka fú	áfùù	kə fúù	kə fúù	á fú	a fú	á fú	ka hu	ka fúù	á hṵ́	á fṵ́
good	nyíná	nyínná	nyínná	nyínà	maa	màà	nyîn	nyin díŋ	maa ɗíŋ	hnyilé, hnyḭ máánə̀	hi ʔyíŋ	hiyə́, hḭḭlə́	ninyé
round	gɔ́rɛ́	dúrúm	gaalá	ɗéɗél	bìna	bìna	á jín	kʊlam	gîn	kwaalə́	kwáínì	kwákwalə̀	ŋ́kúkwə́
dry	kwéélée	kweilé	kweilé	kweele	kweéílè	kwei	a kwî	a kwíì	kwíí	cɪɪlə́	ciiyàŋ	cìáŋ	húhwí
drink	nyɔ́-lɛ́	nyúwá	nyúwá	nyɔ́ɔ́	nú, núə	nú, núə	ŋwàà	ŋwàà	ŋwaa	nwaa	nwáà	nwáá	nùɛ̀
eat	táŋ	táŋ	táŋ	taŋ	táŋ	táŋ	táŋ	taŋ	tâŋ	táŋ, tháŋ	tâŋ	táŋ	tà̰à̰
bite	lúm	lúm	lúm	lúm	mwá léí	dyêp; táŋ kwàm	mwɛ́		mwí léí	mmɔ̀ djii, mmwa djìì	mô	mwa	ná dùnệ
see	náŋɛ́ɛ́; wíílí	náŋ	náŋ	náŋɛ́	laŋ ; loŋ?	laŋ ; loŋ?	ɓí	ɓí	ɓia	ba; bʌ	ɓâ	beia̰	bìì
hear	laarɛ̀	laarà	laarà	la̰a̰le	laare	laarə	lɛ́	lɐ́	láà	lí	líì	lia̰	làà
know	ɛ́rɛ́ nà (nʊ́), ɛ́rɛ́ nʊ́ŋ	ɛrɛnɪ	ɛrɛnɪ	ila̰a̰le	yiira	yiira	íbè núŋ	ííbè	ii	yiipè; bayá yípò	ííbìàŋ	yí bia̰	ye
sleep	ɗo kaa láù; sii ka láʊ; víí ?	víínúŋ láú	víínúŋ láú	núŋ láú	núŋ láú	lau kə láù	nuŋ ló	niŋ ló	nuŋ ló	nə́ŋ lwe	nə́ŋ lùwì	lwé lwia̰	làŋ làù
die	ɓwɛɛrɛ	ɓʊrɛ	ɓʊrɛ	ná bílani	ɓírá	ɓírá	ɓwi	ɓui	ɓwíì	bwa, builə, o búíyá (ya mutu)	ɓwiì	bwíá	bwɛ̀ɛ̀
kill	wʊp	wùup	wùup	wóbé ~ wébé	woop	woòp	dhèp	zèp	dhep	yaa	híyà	yenə́ŋ	ðà
swim	juglo mɛ́ɛ́; zuglo ~	laa mɛ́	laa mɛ́	daa baŋ	baŋ le mui	wáp mwui	ɛɛ mùŋ, gbáŋ	cóó mùŋ	áí mùn	yyi mməŋ	íí mə̀ŋ	yíí mə́ŋ	gà mə̀ŋ
fly	wiriŋ gàk	wúrí gâk	wúrí gâk	wili gâq	wuri yile	wurə́	wurí, yáà	wuri kên	əríì	yaalə́	ii yéé	yaa dzwê	wííŋ nyíló
walk	nɛ́ɛ́ weelé; dót	támo	támo	ná wílí	wuo wo; taá	wuo wo; tá (go)	dhɔ̀ɔ̀	zoozò	dháù	hóh	táà	téá̰	də́d
come	yí	yì	yì	á yí	yə́	yə́	wù	wɐ̀	wa	wúú, wúh	wɐ̀	wḭ́á̰	wà
lie	ɗokaa láù	shiika láú; dʊka láú	dʊka láú	lau	lau	lau kə láù	lóo swàà	loo lə́ lòò	loó swàà	lwḛ hywa̰; lyare há	lwe xǜyá̰	lé há̰yá̰	láú á tɛ̀
sit	ɗòkàà wùlí, shiika wuli	shiyà wulé	shiyà wulé	wuu	úwə́	wə́, wo (sit down)	ə́ swàà	ə lə́ə́̀	ə́ swàà	kú hywa̰, kwɪɪ xhá	kuú xǜyà̰	kwíhá̰(ŋ)	wùdù wàθà
stand	ɗò kàà déé, wuri ka déé (~up)	d(i)e ka de	d(i)e ka de	déi	déi	déi	déém bòò	de lé dè	dei nəɓo	tsə tséé pu	jirəbù	tsüha̰	kyà íbò
give	fɔ́-lɛ́	fá	fá	e mí (give me)	ŋə nuŋ	ŋə nuŋ (-sth.)	dúù	duu	ɗáà	tùù; thaa	ɗə̂	ó táúyáŋ (ya ba shi)	ná dìmì (ya ba ni)
say, he said (that)	gé	géé	mɔ ɓá	jéè	gɛ́ɪ̀	geì	úú jè	úú gʌ̀	ʊ géì	ɔ sá		ó tsàà̰	ná ge
I	mɪ	mɪ̀	me	mî	mə	mə̂	gbâŋ	gbâŋ	gbáŋ	mi	mî	mì	mì
you	mɔ̀	mɔ	mɔ	mô	mwɔ̂	mwɔ̂	ma	mâ	mʌ	mʌ, mʌ̂	mʌ̂	mà	má
he	ná	ná		ná	nʌ́		úú		úù	wʌ			ná
we	ɓo	ɓə́	ɓə	ɓî	ɓí	ɓí	ɓi	ɓî	ɓi	bə	ɓî, bə	bə	kó bi
you	ya	yé		yá	yɐ́		ɓáá		ɓʌ	ba		bà	bá
they	ní	nɪ́		nírè	ní		íí		íì	le, ʔe		èè	yḭ
1	kwîn	kwín	kwín	cwín	kwín	kwin	kwín	kwín	kún	tsə́ŋ	tsə̂ŋ	tsíŋ	túngá, tyunga
2	ráp	râp	râp	lááp	raap	raap	raap; ràp	raap	raàp; raap	buoŋ; bwộŋ	néʔyù	buɔ	nɛ́yá
3	gbúnúŋ	búnúŋ	búnúŋ	táát	táát	táát	tɛɛ		tayi	bwáátɐ̀	nátaà	bwaatə̀	náta
4	nèt	nèt	nə́t	néét	néèt	nèèt	nɛɛ		náì	bwáányà	nényà	bwaanyə̀	nánnyá
5	nʊʊ̀p	nó(w)òp	nó(w)òp	noòb	nuóp	nuwop	ninyúŋ		núú	bwááhmə̀	nɛ́hnwǜ	bwaamə̀	nánnyú
6	nááshîn	níshin	níshín	nááshîn	naasìn	naasən	naarə̀ŋ kwín		nanəkún	hnwitsúŋ	hwí tsùŋ	hwḭ tsú	ná ín kyó
7	náárɛ̀	náárà	náárà	náálệ	naará	naarâ	naarɛ̀		nanə írà	hnwiʔyúŋ	hwí ʔyú	hwḭ hwḭ́ṵ̀	jué didi
8	nátát	nátát	nátát	gónogònò	gaŋna	gɔŋnà	gun nɛ̂		gunáì	hnwitáa	ka̰ya̰ká̰yà̰	hwḭ̀ tʌ́	jué tàti
9	níínít	nììnììt	niiníìt	láácòŋ	laasaŋ	laasòŋ	sóŋ suəp		soŋ suəp	hnwinyáá	hywáŋ hywà	hwḭ̀ nyìə̀	jué nai
10	shʊ́ʊ́p	shóó̀p	shóó̀p	cuòp	suop	suə̀p	suə̀p		suəp	bwááhywà	hýwà	hwá̰ hṵ̈̀à̰	nátúé
15				cuòp diri nóòb		suə̀p dín nùwòp	suəp ɗyú ninyúŋ		lii; suəp yuu núú		líì		
20	fwáá kwîn	shúràp	shúràp	faa cwín	faa kwin	fáá kwìn	dhem kwín		dhəm kún	wún tsùŋ;	hun tsiŋ		
30	fwáá kwîn ɗii ɓá shʊʊp	shúbunuŋ	shúbunuŋ		faa kwin ili suop	fáá kwin ɗi sùòp	dhem kwín dyú sùəp		dhəm kún pəm náá suəp	wún tsùŋ jii hywa	hun tsiŋ yiru xǘà		
100					faa nuop	faa nuop	dhem ninyúŋ		dhəm núú	wún hmə; ŋúm hmə	hun hnwǘ	ŋwún hṵ̈a̰ (hṵ̈o̰ ??)	ðá̰á̰ nyú
200	fwáá shʊʊp				faa suop	faa suop	dhem suəp		dhəm suəp		hun xǘà		
400					faa suop bo ráàp	faa suop bo ráàp	dhem suəp bwáá ràp				hun xǘà bwáána íʔyù		
1000					faa suop bo nuop	faa suop bo nuop	dhem suəp bwáá ninyúŋ				hun xǘà bwáána hnwǜ		
